Year,Week,Monthn,Sales,Gallons,date
2015,31,7,8569.79,166,2015-07-27
2015,31,8,146.73,2,2015-07-27
2015,32,8,7084.31,199,2015-08-03
2015,33,8,10469.54,287,2015-08-10
2015,34,8,6864.6,187,2015-08-17
2015,35,8,7150.45,216,2015-08-24
2015,36,8,1178.17,35,2015-08-31
2015,36,9,7011.4,225,2015-08-31
2015,37,9,9131.12,211,2015-09-07
2015,38,9,8535.47,182,2015-09-14
2015,39,9,10572.36,353,2015-09-21
2015,40,9,4237.41,170,2015-09-28
2015,40,10,3146.11,59,2015-09-28
2015,41,10,13115.02,454,2015-10-05
2015,42,10,9162.5,199,2015-10-12
2015,43,10,7945.27,216,2015-10-19
2015,44,10,6212.85,175,2015-10-26
2015,45,11,8258.97,304,2015-11-02
2015,46,11,8405.17,289,2015-11-09
2015,47,11,6293.53,186,2015-11-16
2015,48,11,6603.39,206,2015-11-23
2015,49,11,306.21,4,2015-11-30
2015,49,12,4962.98,122,2015-11-30
2015,50,12,8017.45,194,2015-12-07
2015,51,12,7714.19,240,2015-12-14
2015,52,12,6180.57,158,2015-12-21
2015,53,12,4526.18,163,2015-12-28
2016,1,1,364.33,5,2016-01-04
2016,2,1,9179.29,494,2016-01-11
2016,3,1,9788.17,409,2016-01-18
2016,4,1,7311.39,288,2016-01-25
2016,5,1,10459.53,473,2016-02-01
2016,6,2,9743.71,415,2016-02-08
2016,7,2,10864.47,461,2016-02-15
2016,8,2,11084.44,507,2016-02-22
2016,9,2,12221.3,605,2016-02-29
2016,10,2,1710.23,51,2016-03-07
2016,10,3,10721.85,350,2016-03-07
2016,11,3,6600.36,211,2016-03-14
2016,12,3,7914.48,202,2016-03-21
2016,13,3,8232.36,322,2016-03-28
2016,14,3,4697.49,149,2016-04-04
2016,14,4,2046.13,61,2016-04-04
2016,15,4,9563.56,288,2016-04-11
2016,16,4,8165.65,274,2016-04-18
2016,17,4,8798.69,216,2016-04-25
2016,18,4,8295.26,248,2016-05-02
2016,19,5,7146.83,221,2016-05-09
2016,20,5,9479.48,235,2016-05-16
2016,21,5,9416.37,343,2016-05-23
2016,22,5,7105.4,219,2016-05-30
2016,23,5,1255.59,40,2016-06-06
2016,23,6,5175.83,163,2016-06-06
2016,24,6,10978.26,329,2016-06-13
2016,25,6,6661.53,231,2016-06-20
2016,26,6,8313.01,237,2016-06-27
2016,27,6,8705.41,265,2016-07-04
2016,27,7,2880.95,105,2016-07-04
2016,28,7,6668.38,249,2016-07-11
2016,29,7,7256.22,230,2016-07-18
2016,30,7,9338.3,434,2016-07-25
2016,31,7,6770.85,189,2016-08-01
2016,32,8,7056.24,169,2016-08-08
2016,33,8,9890.3,253,2016-08-15
2016,34,8,7320.43,270,2016-08-22
2016,35,8,9758.57,315,2016-08-29
2016,36,8,4739.74,158,2016-09-05
2016,36,9,4167.33,128,2016-09-05
2016,37,9,6707.35,166,2016-09-12
2016,38,9,12645.34,413,2016-09-19
2016,39,9,9573.59,366,2016-09-26
2016,40,9,8990.7,384,2016-10-03
2016,40,10,212.01,7,2016-10-03
2016,41,10,11962.15,358,2016-10-10
2016,42,10,8857.51,249,2016-10-17
2016,43,10,11082.25,337,2016-10-24
2016,44,10,8141,329,2016-10-31
2016,45,10,1343.54,47,2016-11-07
2016,45,11,3885.92,101,2016-11-07
2016,46,11,6838.16,227,2016-11-14
2016,47,11,13116.58,304,2016-11-21
2016,48,11,7980.43,219,2016-11-28
2016,49,11,8196.9,231,2016-12-05
2016,49,12,6022.86,194,2016-12-05
2016,50,12,7774.04,228,2016-12-12
2016,51,12,10098.42,310,2016-12-19
2016,52,12,7309.82,221,2016-12-26
2016,53,12,7344.79,254,2017-01-02
2017,1,1,5173.94,165,2017-01-02
2017,2,1,7384.41,194,2017-01-09
2017,3,1,7432.51,175,2017-01-16
2017,4,1,15660,440,2017-01-23
2017,5,1,2462.11,74,2017-01-30
2017,5,2,4810.79,144,2017-01-30
2017,6,2,7793.35,194,2017-02-06
2017,7,2,8040.3,266,2017-02-13
2017,8,2,8787.65,255,2017-02-20
2017,9,2,3137.1,84,2017-02-27
2017,9,3,4559.61,139,2017-02-27
2017,10,3,10117.67,276,2017-03-06
2017,11,3,7953.09,205,2017-03-13
2017,12,3,7513.64,232,2017-03-20
2017,13,3,7651.11,184,2017-03-27
2017,13,4,393.04,7,2017-03-27
2017,14,4,6559.58,192,2017-04-03
2017,15,4,6291.01,177,2017-04-10
2017,16,4,8997.47,195,2017-04-17
2017,17,4,5486.8,158,2017-04-24
