date,Total_Sales,Total_Gallons
2015-02-16,9720.24,267
2015-02-23,6166.71,188
2015-03-02,8242.49,163
2015-03-09,13169.55,339
2015-03-16,12210.37,364
2015-03-23,17033.85,430
2015-03-30,11692.92,415
2015-03-30,9455.89,235
2015-04-06,7635.5,67
2015-04-13,14596.08,360
2015-04-20,14321.85,323
2015-04-27,8726.13,226
2015-04-27,2167.22,39
2015-05-04,10390.36,255
2015-05-11,15156.03,324
2015-05-18,15240.38,419
2015-05-25,18747.28,512
2015-06-01,15735.48,370
2015-06-08,17935.24,401
2015-06-15,18588.92,466
2015-06-22,13245.54,329
2015-06-29,5858.17,143
2015-06-29,8708.18,195
2015-07-06,13935.71,376
2015-07-13,16330.13,393
2015-07-20,8915.67,357
2015-07-27,12358.42,272
2015-07-27,728.27,14
2015-08-03,12579.28,336
2015-08-10,16206.23,424
2015-08-17,10697.33,302
2015-08-24,13323.08,449
2015-08-31,1879.05,64
2015-08-31,11344.47,345
2015-09-07,12731.43,323
2015-09-14,14366.97,329
2015-09-21,16148.44,546
2015-09-28,11084.68,381
2015-09-28,7603.36,170
2015-10-05,20109.3,643
2015-10-12,13495.93,336
2015-10-19,12181.14,330
2015-10-26,10638.43,291
2015-11-02,11626.67,383
2015-11-09,15610.51,460
2015-11-16,11514,332
2015-11-23,10085.85,308
2015-11-30,610.96,9
2015-11-30,7284.87,179
2015-12-07,12709.15,314
2015-12-14,9746.46,295
2015-12-21,9480.77,235
2015-12-28,12479.79,195
2016-01-04,364.33,5
2016-01-11,12629.32,591
2016-01-18,13874.04,542
2016-01-25,11119.76,377
2016-02-01,15670.32,638
2016-02-08,11278.87,453
2016-02-15,14498.52,550
2016-02-22,15377.85,635
2016-02-29,20953.83,867
2016-03-07,3806.09,119
2016-03-07,15217.39,481
2016-03-14,12032.95,359
2016-03-21,15151.08,455
2016-03-28,14001.38,490
2016-04-04,7267.07,212
2016-04-04,3959.98,100
2016-04-11,14050.6,421
2016-04-18,17244.82,531
2016-04-25,13820.97,386
2016-05-02,10838.02,329
2016-05-09,15348.87,469
2016-05-16,14327.35,377
2016-05-23,13673.34,459
2016-05-30,10485.42,305
2016-06-06,1898.37,53
2016-06-06,8121.41,233
2016-06-13,15531.98,439
2016-06-20,21222.26,372
2016-06-27,14026.6,305
2016-07-04,11964.39,336
2016-07-04,3579.63,126
2016-07-11,9169.53,318
